Date,Open,High,Low,Close,Volume
2019-12-05,247.834,248.964,246.41,248.301,168546.08091046
2019-12-06,247.834,250.486,244.606,247.639,142660.80461345
2019-12-09,248.681,250.105,244.041,250.105,98411.022695194
2019-12-10,250.202,250.202,243.564,243.661,145353.02103563
2019-12-11,243.564,245.845,239.78,239.78,201359.32746725
2019-12-12,242.052,245.269,239.206,244.519,229098.89987525
2019-12-13,245.182,247.073,239.78,241.194,196119.50510498
2019-12-16,241.672,244.324,239.303,242.998,137719.43367169
2019-12-17,244.226,250.202,240.531,248.877,239646.2346127
2019-12-18,250.769,254.659,247.17,254.084,286386.1885207
2019-12-19,254.464,257.779,252.29,254.659,340259.23393968
2019-12-20,255.888,256.931,253.801,255.985,327868.88476007
2019-12-23,257.779,265.365,256.073,265.365,299189.85702151
2019-12-27,266.311,270.103,262.712,263.182,215387.56983781
2019-12-30,262.712,267.919,262.616,264.887,168846.58354349
2020-01-02,267.257,271.81,266.311,271.81,176723.23959014
2020-01-03,271.995,274.656,266.408,271.049,257431.27269926
2020-01-07,272.093,273.331,268.115,268.963,224605.7188674
2020-01-08,268.68,268.963,262.809,266.408,236845.30392736
2020-01-09,269.158,273.515,268.212,273.515,205646.36161764
2020-01-10,274.365,277.397,269.626,270.103,279202.84230316
2020-01-13,272.755,275.409,269.343,275.409,220648.92993147
2020-01-14,275.319,276.549,271.244,273.418,284592.40317883
2020-01-15,274.276,274.462,267.919,268.398,277203.93571008
2020-01-16,267.735,271.049,264.604,267.549,262004.45099509
2020-01-17,240.531,253.997,230.303,252.573,2948490.8110331
2020-01-20,254.659,267.832,253.138,266.788,805252.70074292
2020-01-21,266.974,270.766,259.3,264.224,466438.54601804
2020-01-22,267.169,269.158,260.061,261.191,524534.01239327
2020-01-23,259.68,263.942,258.54,259.68,480161.15772429
2020-01-24,258.734,262.996,257.029,261.572,347301.04649388
2020-01-27,262.616,264.703,254.279,256.833,277203.93571008
2020-01-28,257.312,261.854,257.312,261.854,259178.9057596
2020-01-29,262.519,263.376,259.866,262.809,421512.88957703
2020-01-30,262.519,263.854,259.68,263.376,353984.92246471
2020-01-31,263.474,266.886,260.148,266.886,585886.8042378
2020-02-03,265.931,278.158,264.887,278.158,622687.6079182
2020-02-04,278.158,289.058,275.126,289.058,702462.33933429
2020-02-05,287.166,303.839,286.504,291.905,831271.30585322
2020-02-06,293.319,298.058,289.721,297.307,349719.42604569
2020-02-07,296.927,300.243,291.331,292.656,247265.46348907
2020-02-10,294.655,297.024,293.797,294.46,128999.72928256
2020-02-11,296.644,300.427,294.275,294.275,228717.37434799
2020-02-12,294.743,299.296,292.286,296.829,247242.90015143
2020-02-13,296.731,302.046,295.883,302.046,267213.50516968
2020-02-14,302.611,309.719,300.906,308.958,419082.20275015
2020-02-17,310.479,318.436,306.687,308.958,180645.15791336
2020-02-18,308.393,313.513,306.122,311.806,120762.05983379
2020-02-19,312.752,314.555,308.676,313.513,322973.66609983
2020-02-20,313.317,314.555,309.534,311.329,208132.43118236
2020-02-21,310.859,316.545,309.534,313.698,214031.71836728
2020-02-24,310.479,312.752,302.328,303.459,422094.40832423
2020-02-25,299.676,304.883,289.341,291.242,649154.40296241
2020-02-26,285.841,300.057,281.472,291.711,556909.32507873
2020-02-27,291.905,294.743,275.506,277.212,483361.04924324
2020-02-28,261.572,271.049,247.931,263.942,1167651.6969325
2020-03-02,272.853,282.428,257.779,269.538,714554.23709339
2020-03-03,279.581,290.862,275.028,289.82,786639.99840771
2020-03-04,284.602,288.493,277.212,280.146,435203.70748935
2020-03-05,287.166,289.537,278.821,282.047,320288.62892144
2020-03-06,279.201,279.484,268.212,277.875,383998.26394242
2020-03-09,252.096,269.158,245.932,255.888,745143.96928702
2020-03-10,260.626,265.365,253.997,256.171,479426.82364495
2020-03-11,256.833,257.496,229.347,237.878,841184.81592443
2020-03-12,216.087,222.717,194.471,204.806,1406768.718717
2020-03-13,217.978,239.78,212.098,231.151,1304616.2843997
2020-03-16,223.574,257.779,210.393,238.825,1036344.3535738
